Latitude,Longitude,pCO2_ppm,temperature_degC,salinity_PSU,Chlorophyll_mgPerm3,year,month,day,hour,minute
42.8971164285714,-9.42338595238095,NaN,17.794,35.2255714285714,7.09432,2018,7,6,19,37
42.8943435714286,-9.42135214285714,NaN,17.8482857142857,35.2041428571429,7.08851928571429,2018,7,6,19,38
42.8916061904762,-9.41928142857143,NaN,17.8495714285714,35.2214285714286,7.07505557142857,2018,7,6,19,39
42.8888004761905,-9.41718261904762,NaN,17.7682857142857,35.2514285714286,7.09964271428571,2018,7,6,19,40
42.8859864285714,-9.41499190476191,NaN,17.6468571428571,35.281,7.03987785714286,2018,7,6,19,41
42.8833145238095,-9.41281761904762,NaN,17.6367142857143,35.2411428571429,7.06217171428572,2018,7,6,19,42
42.8806795238095,-9.41061023809524,NaN,17.991,35.0955714285714,7.15912828571429,2018,7,6,19,43
42.8780580952381,-9.40836476190476,NaN,18.0744285714286,35.142,7.18121142857143,2018,7,6,19,44
42.875454047619,-9.40605047619048,NaN,18.0814285714286,35.1685714285714,7.16084542857143,2018,7,6,19,45
42.8728511904762,-9.40373142857143,NaN,18.0137142857143,35.2147142857143,7.17381157142857,2018,7,6,19,46
42.8703038095238,-9.40146095238095,NaN,17.9591428571429,35.2134285714286,7.12434571428571,2018,7,6,19,47
42.8679345238095,-9.39915452380952,NaN,17.938,35.2052857142857,7.117628,2018,7,6,19,48
42.8654780952381,-9.39670761904762,NaN,17.9737142857143,35.1645714285714,7.18231928571429,2018,7,6,19,49
42.8630566666667,-9.39428071428571,NaN,17.906,35.1985714285714,7.18249828571429,2018,7,6,19,50
42.8607204761905,-9.39186119047619,NaN,17.9194285714286,35.1621428571429,7.19683185714286,2018,7,6,19,51
42.8583985714286,-9.38947714285714,NaN,17.909,35.17,7.23189014285714,2018,7,6,19,52
42.8559726190476,-9.38719261904762,NaN,17.8678571428571,35.1857142857143,7.21230014285714,2018,7,6,19,53
42.853394047619,-9.38501952380952,NaN,17.8944285714286,35.1797142857143,7.21892557142857,2018,7,6,19,54
42.85079,-9.38295285714286,NaN,17.8795714285714,35.1877142857143,7.22767285714286,2018,7,6,19,55
42.8483009523809,-9.38105595238095,NaN,17.9421428571429,35.169,7.20289514285714,2018,7,6,19,56
42.8458030952381,-9.37917452380952,NaN,18.0302857142857,35.1615714285714,7.26226228571429,2018,7,6,19,57
42.843329047619,-9.37733357142857,NaN,18.0048571428571,35.185,7.24425028571429,2018,7,6,19,58
42.8409366666667,-9.375315,NaN,17.9644285714286,35.1965714285714,7.24158871428571,2018,7,6,19,59
42.8385147619048,-9.37299880952381,NaN,17.9452857142857,35.1941428571429,7.18317285714286,2018,7,6,20,8
42.8362264285714,-9.37057857142857,NaN,18.0571428571429,35.1201428571429,7.20226728571429,2018,7,6,20,1
